name,price,link
Case Gamer Xtratech Fire202 Atx 3 Ventiladores (max 6) Vidr Negro,43.19,https://www.mercadolibre.com.ec/case-gamer-xtratech-fire202-atx-3-ventiladores-max-6-vidr/up/MECU3296745112#polycard_client=search-desktop&search_layout=grid&position=22&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC647348696&sid=search
Dell Pro 16  Silver 16pulg Fhd Ultra 7 16gb Ddr5 5600 512gb Plateado,1722.0,https://www.mercadolibre.com.ec/dell-pro-16--silver-16pulg-fhd-ultra-7-16gb-ddr5-5600-512gb/up/MECU3467079517#polycard_client=search-desktop&search_layout=grid&position=23&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC685545168&sid=search
Pc Cpu Computador Amd Ryzen 5 5600g 16gb + Ssd 500gb Radeon 500 Gb 8 Gb Gráficos Readeon 7,555.0,https://www.mercadolibre.com.ec/pc-cpu-computador-amd-ryzen-5-5600g-16gb--ssd-500gb-radeon/up/MECU2438883814#polycard_client=search-desktop&search_layout=grid&position=24&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC519098203&sid=search
Gabinete Mid Tower Armaggeddon Tritron Pro 300 BK 4 Ventiladores ARGB,49.98,https://www.mercadolibre.com.ec/gabinete-mid-tower-armaggeddon-tritron-pro-300-bk-4-ventiladores-argb/p/MEC57782146#polycard_client=search-desktop&search_layout=grid&position=25&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC681824552&sid=search
Laptop Dell Inspiron 14 | Core I5 | 8gb | 512gb Carbon Black,567.36,https://www.mercadolibre.com.ec/laptop-dell-inspiron-14--core-i5--8gb--512gb/up/MECU3550995523#polycard_client=search-desktop&search_layout=grid&position=26&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC710568456&sid=search
Ltc Pc Gamer Intel I9 14900k Z790 32gbram 1tb Rtx 4070ti 16 Gb,3134.0,https://www.mercadolibre.com.ec/ltc-pc-gamer-intel-i9-14900k-z790-32gbram-1tb-rtx-4070ti/up/MECU2434277711#polycard_client=search-desktop&search_layout=grid&position=27&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517459464&sid=search
Gabinete Mid Tower Antec AX61 Elite Vidrio Templado RGB 3 Ventiladores,67.99,https://www.mercadolibre.com.ec/gabinete-mid-tower-antec-ax61-elite-vidrio-templado-rgb-3-ventiladores/p/MEC34357993#polycard_client=search-desktop&search_layout=grid&position=28&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC569972540&sid=search
Pc Cpu Computado Amd Ryzen 5 5600g Ram 8gb + Ssd 500g Radeon 500 Gb 8 Gb Amd Radeon,479.0,https://www.mercadolibre.com.ec/pc-cpu-computado-amd-ryzen-5-5600g-ram-8gb--ssd-500g-radeon/up/MECU2434169795#polycard_client=search-desktop&search_layout=grid&position=29&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516685782&sid=search
Case Armaggeddon Tritron Pro 100 Black Incluido X4 Argb Fans,51.59,https://www.mercadolibre.com.ec/case-armaggeddon-tritron-pro-100-black-incluido-x4-argb-fans/p/MEC62090455#polycard_client=search-desktop&search_layout=grid&position=30&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC711724582&sid=search
Pc Gamer Cpu Intel Co I9 14900k Nvidia Rtx 5060 32gb Ssd 1tb 32 Gb,2099.0,https://www.mercadolibre.com.ec/pc-gamer-cpu-intel-co-i9-14900k-nvidia-rtx-5060-32gb-ssd-1tb/up/MECU2438835938#polycard_client=search-desktop&search_layout=grid&position=31&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516692347&sid=search
